name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded	delta_price	delta_price_p
ABANS ELECTRICALS PLC	ABAN.N0000	102	8	147.25	150.0	162.5	150.0	150.0	2.75	1.87
ACCESS ENGINEERING PLC	AEL.N0000	0	142	12.5	12.2	13.0	11.9	12.0	0.5	4.0
ACL CABLES PLC	ACL.N0000	0	92	41.7	46.9	46.9	40.1	41.3	0.4	0.96
ACL PLASTICS PLC	APLA.N0000	0	35	307.0	261.0	305.0	255.25	302.75	4.25	1.38
ACME PRINTING & PACKAGING PLC	ACME.N0000	915	9	8.7	8.8	9.5	8.7	8.8	0.1	1.15
AGALAWATTE  PLANTATIONS  PLC	AGAL.N0000	0	84	33.5	33.9	34.1	31.0	32.2	1.3	3.88
AGSTAR PLC	AGST.N0000	0	39	6.1	6.0	6.0	5.7	5.8	0.3	4.92
AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	0	9	32.5	34.9	34.9	30.1	32.0	0.5	1.54
AITKEN SPENCE PLC	SPEN.N0000	0	39	69.1	70.5	73.0	70.3	70.6	1.5	2.17
ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	0	32	50.8	48.2	48.2	47.0	47.2	3.6	7.09
ALUMEX PLC	ALUM.N0000	0	89	6.7	7.0	7.1	6.4	6.7	0.0	0.0
AMANA BANK PLC	ABL.N0000	0	58	2.3	2.3	2.4	2.2	2.2	0.1	4.35
AMANA TAKAFUL LIFE PLC	ATLL.N0000	111	3	21.5	22.6	23.0	22.6	22.6	1.1	5.12
AMANA TAKAFUL PLC	ATL.N0000	208	7	8.5	9.2	9.2	8.2	8.6	0.1	1.18
AMBEON CAPITAL PLC	TAP.N0000	0	51	5.6	5.9	5.9	5.0	5.1	0.5	8.93
AMBEON HOLDINGS PLC	GREG.N0000	651	6	39.0	38.5	38.5	35.0	35.0	4.0	10.26
ARPICO INSURANCE PLC	AINS.N0000	75	2	15.8	17.4	17.4	17.3	15.8	0.0	0.0
ASIA ASSET FINANCE PLC	AAF.N0000	85	2	6.0	6.7	6.7	6.7	6.0	0.0	0.0
ASIA CAPITAL PLC	ACAP.N0000	0	23	4.9	4.9	4.9	4.5	4.6	0.3	6.12
ASIA SIYAKA COMMODITIES LIMITED	ASIY.N0000	0	5	2.1	2.2	2.2	2.1	2.1	0.0	0.0
ASIAN HOTELS AND PROPERTIES PLC	AHPL.N0000	0	7	28.0	30.5	32.4	30.0	30.1	2.1	7.5
ASIRI HOSPITAL HOLDINGS PLC	ASIR.N0000	281	5	33.7	34.4	34.4	33.0	33.4	0.3	0.89
ASIRI SURGICAL HOSPITAL PLC	AMSL.N0000	277	7	12.5	13.0	13.0	12.5	13.0	0.5	4.0
ASSOCIATED MOTOR FINANCE COMPANY PLC	AMF.N0000	0	20	7.7	7.9	7.9	7.5	7.6	0.1	1.3
B P P L HOLDINGS PLC	BPPL.N0000	0	14	17.1	19.7	19.7	16.9	18.8	1.7	9.94
BAIRAHA FARMS PLC	BFL.N0000	0	60	130.0	130.0	130.0	123.25	124.75	5.25	4.04
BALANGODA  PLANTATIONS  PLC	BALA.N0000	0	13	20.4	22.0	22.0	17.5	19.7	0.7	3.43
BANSEI ROYAL RESORTS HIKKADUWA PLC	BRR.N0000	0	3	10.4	10.2	10.2	10.2	10.2	0.2	1.92
BERUWALA RESORTS PLC	BERU.N0000	0	14	0.9	0.9	0.9	0.8	0.8	0.1	11.11
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC	BLUE.N0000	0	2	0.5	0.6	0.6	0.5	0.6	0.1	20.0
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC	BLUE.X0000	0	16	0.3	0.3	0.3	0.2	0.3	0.0	0.0
BOGALA GRAPHITE LANKA PLC	BOGA.N0000	0	18	40.3	40.0	40.0	39.8	40.0	0.3	0.74
BOGAWANTALAWA TEA ESTATES PLC	BOPL.N0000	0	15	10.0	10.5	10.5	10.1	10.4	0.4	4.0
BROWN & COMPANY PLC	BRWN.N0000	0	67	109.75	110.0	110.0	104.75	105.25	4.5	4.1
BROWNS BEACH HOTELS PLC	BBH.N0000	0	8	8.2	8.5	9.0	7.8	8.8	0.6	7.32
BROWNS INVESTMENTS PLC	BIL.N0000	0	789	6.1	6.1	6.1	5.6	6.0	0.1	1.64
C I C HOLDINGS PLC	CIC.X0000	0	32	20.5	20.5	21.8	19.6	19.9	0.6	2.93
C I C HOLDINGS PLC	CIC.N0000	0	19	30.3	34.5	34.5	30.0	31.0	0.7	2.31
C M HOLDINGS PLC	COLO.N0000	0	5	56.5	56.0	59.0	56.0	58.8	2.3	4.07
